Surface_Area_um2,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
36.404682,3.632276,8.133779,11.766055,1.5
36.488294,3.679695,8.165552,11.845246,1.5
36.571906,3.727113,8.197324,11.924438,1.5
36.655518,3.774532,8.229097,12.003629,1.5
36.739130,3.821951,8.260870,12.082820,1.5
36.822742,3.869370,8.292642,12.162012,1.5
36.906355,3.916788,8.324415,12.241203,1.5
36.989967,3.964207,8.356187,12.320394,1.5
37.073579,4.011626,8.387960,12.399586,1.5
37.157191,4.059045,8.419732,12.478777,1.5
37.240803,4.106463,8.451505,12.557968,1.5
37.324415,4.153882,8.483278,12.637160,1.5
37.408027,4.201301,8.515050,12.716351,1.5
37.491639,4.248719,8.546823,12.795542,1.5
37.575251,4.296138,8.578595,12.874734,1.5
37.658863,4.343557,8.610368,12.953925,1.5
37.742475,4.390976,8.642140,13.033116,1.5
37.826087,4.438394,8.673913,13.112308,1.5
37.909699,4.485813,8.705686,13.191499,1.5
37.993311,4.533232,8.737458,13.270690,1.5
38.076923,4.580651,8.769231,13.349881,1.5
38.160535,4.628069,8.801003,13.429073,1.5
38.244147,4.675488,8.832776,13.508264,1.5
38.327759,4.722907,8.864548,13.587455,1.5
38.411371,4.770326,8.896321,13.666647,1.5
38.494983,4.817744,8.928094,13.745838,1.5
38.578595,4.865163,8.959866,13.825029,1.5
38.662207,4.912582,8.991639,13.904221,1.5
38.745819,4.960001,9.023411,13.983412,1.5
38.829431,5.007419,9.055184,14.062603,1.5
38.913043,5.054838,9.086957,14.141795,1.5
38.996656,5.102257,9.118729,14.220986,1.5
39.080268,5.149676,9.150502,14.300177,1.5
39.163880,5.197094,9.182274,14.379369,1.5
39.247492,5.244513,9.214047,14.458560,1.5
39.331104,5.291932,9.245819,14.537751,1.5
39.414716,5.339351,9.277592,14.616943,1.5
39.498328,5.386769,9.309365,14.696134,1.5
39.581940,5.434188,9.341137,14.775325,1.5
39.665552,5.481607,9.372910,14.854517,1.5
39.749164,5.529026,9.404682,14.933708,1.5
39.832776,5.576444,9.436455,15.012899,1.5
39.916388,5.623863,9.468227,15.092091,1.5
40.000000,5.671282,9.500000,15.171282,1.5
