Pressure_atm,PM_Tension_10_2_N_per_m,PG_Tension_10_2_N_per_m,Total_Tension_10_2_N_per_m,Rupture_Tension_10_2_N_per_m
3.157191,0.938565,7.188565,8.145552,1.5
3.170569,0.957671,7.207671,8.180067,1.5
3.183946,0.976777,7.226777,8.214582,1.5
3.197324,0.995882,7.245882,8.249097,1.5
3.210702,1.014988,7.264988,8.283612,1.5
3.224080,1.034094,7.284094,8.318127,1.5
3.237458,1.053199,7.303199,8.352642,1.5
3.250836,1.072305,7.322305,8.387157,1.5
3.264214,1.091411,7.341411,8.421672,1.5
3.277592,1.110516,7.360516,8.456187,1.5
3.290970,1.129622,7.379622,8.490702,1.5
3.304348,1.148728,7.398728,8.525217,1.5
3.317726,1.167833,7.417833,8.559732,1.5
3.331104,1.186939,7.436939,8.594247,1.5
3.344482,1.206045,7.456045,8.628763,1.5
3.357860,1.225150,7.475150,8.663278,1.5
3.371237,1.244256,7.494256,8.697793,1.5
3.384615,1.263362,7.513362,8.732308,1.5
3.397993,1.282467,7.532467,8.766823,1.5
3.411371,1.301573,7.551573,8.801338,1.5
3.424749,1.320679,7.570679,8.835853,1.5
3.438127,1.339784,7.589784,8.870368,1.5
3.451505,1.358890,7.608890,8.904883,1.5
3.464883,1.377996,7.627996,8.939398,1.5
3.478261,1.397101,7.647101,8.973913,1.5
3.491639,1.416207,7.666207,9.008428,1.5
3.505017,1.435313,7.685313,9.042943,1.5
3.518395,1.454418,7.704418,9.077458,1.5
3.531773,1.473524,7.723524,9.111973,1.5
3.545151,1.492630,7.742630,9.146488,1.5
3.558528,1.511735,7.761735,9.181003,1.5
3.571906,1.530841,7.780841,9.215518,1.5
3.585284,1.549947,7.799947,9.250033,1.5
3.598662,1.569052,7.819052,9.284548,1.5
3.612040,1.588158,7.838158,9.319064,1.5
3.625418,1.607264,7.857264,9.353579,1.5
3.638796,1.626369,7.876369,9.388094,1.5
3.652174,1.645475,7.895475,9.422609,1.5
3.665552,1.664581,7.914581,9.457124,1.5
3.678930,1.683686,7.933686,9.491639,1.5
3.692308,1.702792,7.952792,9.526154,1.5
3.705686,1.721898,7.971898,9.560669,1.5
3.719064,1.741003,7.991003,9.595184,1.5
3.732441,1.760109,8.010109,9.629699,1.5
3.745819,1.779214,8.029214,9.664214,1.5
3.759197,1.798320,8.048320,9.698729,1.5
3.772575,1.817426,8.067426,9.733244,1.5
3.785953,1.836531,8.086531,9.767759,1.5
3.799331,1.855637,8.105637,9.802274,1.5
3.812709,1.874743,8.124743,9.836789,1.5
3.826087,1.893848,8.143848,9.871304,1.5
3.839465,1.912954,8.162954,9.905819,1.5
3.852843,1.932060,8.182060,9.940334,1.5
3.866221,1.951165,8.201165,9.974849,1.5
3.879599,1.970271,8.220271,10.009365,1.5
3.892977,1.989377,8.239377,10.043880,1.5
3.906355,2.008482,8.258482,10.078395,1.5
3.919732,2.027588,8.277588,10.112910,1.5
3.933110,2.046694,8.296694,10.147425,1.5
3.946488,2.065799,8.315799,10.181940,1.5
3.959866,2.084905,8.334905,10.216455,1.5
3.973244,2.104011,8.354011,10.250970,1.5
3.986622,2.123116,8.373116,10.285485,1.5
4.000000,2.142222,8.392222,10.320000,1.5
